lat,lon
36.6234,-75.8734
36.5155,-75.8153
36.4616,-75.7572
36.2998,-75.6991
36.084,-75.641
36.0301,-75.641
35.9761,-75.583
35.9222,-75.5249
35.8682,-75.4668
35.8143,-75.4087
35.7604,-75.3507
35.4367,-75.2926
35.4907,-75.2345
35.5446,-75.1765
35.5985,-75.0603
35.5985,-75.0022
35.5446,-74.8861
35.7064,-74.7699
35.7604,-74.6538
35.7604,-74.5957
35.8143,-74.5376
35.8682,-74.4796
35.9761,-74.4215
36.0301,-74.3634
36.084,-74.3634
36.1379,-74.3634
36.2998,-74.3634
36.3537,-74.3634
36.5155,-74.3053
36.5695,-74.2473
36.6234,-74.2473
36.6773,-74.2473
36.8392,-74.1892
36.8931,-74.1892
37.001,-74.1892
37.1628,-74.1311
37.3786,-74.1311
37.5404,-74.073
37.5943,-74.015
37.7022,-73.8988
37.7561,-73.8407
37.8101,-73.7826
37.864,-73.7246
38.0258,-73.6665
38.1337,-73.5503
38.2955,-73.4923
38.3495,-73.4342
38.4574,-73.3761
38.5113,-73.318
38.5652,-73.26
38.6192,-73.2019
38.7271,-73.1438
38.8349,-73.0277
38.9428,-72.9696
39.0507,-72.9115
39.1046,-72.8534
39.2665,-72.6792
39.3204,-72.6211
39.3743,-72.505
39.4283,-72.3888
39.4822,-72.3308
39.5362,-72.2727
39.5901,-72.1565
39.644,-72.0404
39.698,-71.9823
39.8059,-71.8662
39.9677,-71.6919
39.9677,-71.5758
39.9677,-71.5177
39.9677,-71.4596
39.9677,-71.4016
39.9677,-71.3435
39.9677,-71.2854
39.9677,-71.2273
40.0216,-71.1112
40.0756,-70.995
40.0756,-70.937
40.1295,-70.8208
40.1295,-70.7627
40.1295,-70.7047
40.2374,-70.5304
40.2374,-70.4724
40.2374,-70.4143
40.2374,-70.3562
40.2374,-70.2981
40.2913,-70.182
40.2913,-70.1239
40.2913,-70.0658
40.2374,-69.9497
40.2374,-69.8916
40.2913,-69.7755
40.3453,-69.7174
40.3992,-69.6012
40.5071,-69.4851
40.561,-69.3109
40.561,-69.2528
40.561,-69.1947
40.561,-69.1366
40.615,-69.1366
40.7228,-69.1947
40.7768,-69.2528
40.8847,-69.3109
41.1544,-69.1947
41.2622,-69.1366
41.4241,-69.1366
41.5319,-69.1947
41.5859,-69.2528
41.6398,-69.3109
41.6938,-69.3689
41.7477,-69.4851
42.0713,-69.6012
42.0713,-69.6593
42.0713,-69.7174
42.0174,-69.7755
41.9635,-69.8916
41.9095,-69.8916
41.8556,-69.8916
41.8016,-69.8916
41.7477,-69.8916
41.6938,-69.8916
41.478,-69.8916
41.4241,-69.8916
41.2083,-70.1239
41.2083,-70.182
41.2083,-70.2401
41.2083,-70.2981
41.2083,-70.3562
41.2083,-70.4143
41.2083,-70.4724
41.2083,-70.5304
41.2083,-70.5885
41.2083,-70.6466
41.2083,-70.7047
41.1544,-70.7627
41.0465,-70.8789
41.0465,-71.0531
41.0465,-71.1112
41.0465,-71.1693
41.0465,-71.2273
41.1004,-71.4016
41.0465,-71.5177
40.9925,-71.6339
40.9925,-71.6919
40.9925,-71.75
40.9386,-71.8662
40.9386,-71.9242
40.8847,-72.0404
40.8307,-72.1565
40.8307,-72.2146
40.7768,-72.3308
40.7228,-72.4469
40.6689,-72.5631
40.6689,-72.6211
40.6689,-72.6792
40.6689,-72.7373
40.6689,-72.7954
40.615,-72.9115
40.615,-72.9696
40.561,-73.0857
40.561,-73.1438
40.561,-73.2019
40.561,-73.26
40.5071,-73.3761
40.5071,-73.4342
40.5071,-73.4923
40.5071,-73.5503
40.4531,-73.6665
40.4531,-73.7246
40.4531,-73.7826
40.4531,-73.8407
40.3992,-73.8988
40.3453,-73.8988
40.2913,-73.8988
40.2374,-73.8988
40.1834,-73.8988
40.1295,-73.8988
40.0756,-73.8988
39.9137,-73.9569
39.8598,-74.015
39.698,-74.073
39.5901,-74.1311
39.5362,-74.1892
39.4822,-74.2473
39.4283,-74.3053
39.3743,-74.3634
39.3204,-74.4215
39.1586,-74.4796
39.1046,-74.5376
39.0507,-74.6538
38.9968,-74.7119
38.9428,-74.7699
38.8889,-74.828
38.8349,-74.828
38.781,-74.828
38.7271,-74.828
38.6731,-74.828
38.5113,-74.8861
38.4574,-74.9442
38.3495,-75.0022
38.2955,-75.0603
38.1877,-75.1184
38.0798,-75.1765
38.0258,-75.2345
37.918,-75.2926
37.8101,-75.3507
37.7561,-75.4087
37.6483,-75.4668
37.5943,-75.5249
37.5404,-75.5249
37.4864,-75.5249
37.4325,-75.5249
37.3786,-75.5249
37.3246,-75.5249
37.2707,-75.5249
37.1089,-75.583
37.0549,-75.641
37.001,-75.6991
36.947,-75.7572
36.8931,-75.8153
36.7852,-75.8734
36.7313,-75.8734
36.6773,-75.8734
36.6234,-75.8734
