%Site#, Site Code, Longitude, Latitude, Frequency, Look Angle Start, Look Angle End
1,NAUS,-69.9472,41.8443,5,10.0,170.0
2,NANT,-69.9719,41.2498,5,50.0,260.0
3,MVCO,-70.5268,41.3498,5,120.0,230.0
4,BLCK,-71.5509,41.1527,5,100.0,240.0
5,AMAG,-72.1239,40.9692,5,90.0,230.0
6,MRCH,-72.7455,40.7887,5,80.0,230.0
7,HEMP,-73.5894,40.587,5,90.0,200.0
8,HOOK,-73.9838,40.4332,5,80.0,180.0
9,LOVE,-74.1171,39.7362,5,60.0,190.0
10,BRIG,-74.3621,39.4074,5,50.0,200.0
11,WILD,-74.8532,38.9537,5,50.0,190.0
12,ASSA,-75.1529,38.205,5,35.0,190.0
13,CEDR,-75.5923,37.6729,5,40.0,185.0
14,LISL,-75.9226,36.6917,5,30.0,160.0
15,DUCK,-75.7501,36.1803,5,10.0,140.0
16,HATY,-75.5199,35.2572,5,20.0,180.0
17,CORE,-76.4114,34.7601,5,70.0,230.0
18,SEAB,-73.9727,40.3617,13,,
19,BRAD,-74.0052,40.1961,13,,
20,SPRK,-74.072,39.9352,13,,
21,BRNT,-74.1984,39.6154,13,,
22,BRMR,-74.3621,39.4073,13,,
23,RATH,-74.6526,39.1987,13,,
24,WOOD,-74.7931,38.9877,13,,
25,SILD,-74.1245,40.5436,25,,
26,PORT,-74.0994,40.4413,25,,
27,OLDB,-74.2535,40.4621,25,,
28,MISQ,-71.8042,41.3229,25,,
29,BISL,-71.5518,41.1526,25,,
30,MNTK,-71.8567,41.071,25,,
31,STLI,-73.5873,40.9087,25,,
32,GCAP,-73.6238,40.9826,25,,
33,CMPT,-74.9608,38.9314,25,,
34,HLPN,-75.0889,38.7936,25,,
35,CAPE,-74.9124,39.0738,25,,
36,VIEW,-76.2432,36.9499,25,,
37,CPHN,-76.0168,36.9308,25,,
38,SUNS,-75.9722,37.1372,25,,
39,METS,-70.520897,41.359546,25,,
40,SQUB,-70.7675,41.3065,25,,
41,PTWN,-70.2215,42.0795,13,,
42,RUCOOL,-74.4373,40.4795,ALL,,
43,GRHD,-74.324,39.5091,5,,
44,CDDO,-67.1904667,18.09995,13,,
45,FURA,-67.19835,18.2918833,13,,
46,FARO,-67.192,17.9334,05,,
47,PYFC,-66.6183,17.9628,05,,
48,MABO,-65.885,17.9881,05,,
49,TEST,-73.9836,40.4301,13,,
